0.64,-0.688,35.609
0.512,-0.56,35.676
0.832,-0.128,35.742
1.184,-0.048,35.808
1.104,0.112,35.874
1.456,-0.032,35.939
1.472,-0.064,36.006
1.552,-0.208,36.071
1.392,-0.144,36.136
1.264,-0.128,36.202
0.992,-0.144,36.267
0.848,-0.144,36.332
0.8,-0.144,36.398
0.896,-0.144,36.463
1.088,-0.144,36.528
1.28,-0.128,36.593
1.504,-0.144,36.659
1.52,-0.128,36.724
1.424,-0.064,36.789
1.264,-0.016,36.856
1.04,0.064,36.925
0.896,0.064,36.991
0.832,0.016,37.056
0.912,0.048,37.122
1.04,0.016,37.189
1.264,0.0,37.255
1.392,-0.064,37.322
1.456,-0.064,37.389
1.376,-0.08,37.455
1.168,-0.192,37.52
1.04,-0.128,37.586
0.88,-0.176,37.655
0.88,-0.16,37.721
1.072,-0.08,37.787
1.072,0.112,37.854
1.264,-0.112,37.921
1.376,-0.128,37.987
1.424,0.112,38.052
1.344,-0.096,38.118
1.168,-0.032,38.184
1.056,0.016,38.249
0.88,0.032,38.315
0.896,0.064,38.381
0.896,-0.08,38.446
1.072,0.032,38.512
1.248,-0.08,38.578
1.344,-0.112,38.644
1.376,-0.128,38.709
1.28,-0.128,38.775
1.168,-0.176,38.841
0.976,-0.128,38.907
0.896,-0.112,38.972
0.88,-0.144,39.037
0.944,-0.128,39.104
1.056,-0.112,39.169
1.184,-0.048,39.235
1.28,-0.144,39.301
1.36,-0.16,39.367
1.264,-0.016,39.434
1.168,-0.032,39.501
1.024,0.016,39.568
0.912,0.032,39.64
0.912,0.032,39.706
0.96,0.032,39.772
1.072,0.016,39.838
1.216,-0.016,39.904
1.296,-0.08,39.969
1.312,-0.08,40.035
1.216,-0.128,40.1
1.136,-0.112,40.166
1.008,-0.128,40.232
0.912,-0.144,40.298
0.912,-0.16,40.364
0.976,-0.096,40.429
1.088,-0.096,40.495
1.168,-0.112,40.561
1.264,-0.08,40.627
1.28,-0.048,40.692
1.248,-0.048,40.758
1.136,-0.016,40.824
0.992,0.032,40.889
0.944,0.032,40.955
0.912,0.096,41.019
0.992,0.016,41.086
1.072,-0.032,41.152
1.168,-0.016,41.218
1.264,-0.08,41.284
1.28,-0.08,41.349
1.232,-0.128,41.415
1.136,-0.144,41.481
1.024,-0.192,41.546
0.928,-0.144,41.618
0.928,-0.176,41.684
0.992,-0.128,41.749
1.12,-0.08,41.816
1.184,-0.128,41.881
1.248,-0.016,41.947
1.248,-0.032,42.014
1.184,-0.08,42.078
1.104,0.016,42.144
0.992,0.016,42.209
0.96,0.016,42.274
0.96,0.032,42.339
0.992,0.016,42.405
1.104,-0.08,42.469
1.168,-0.048,42.535
1.248,-0.096,42.601
1.216,-0.096,42.666
1.152,-0.112,42.731
1.088,-0.144,42.796
0.992,-0.128,42.864
0.944,-0.096,42.93
0.944,-0.16,42.997
1.024,-0.096,43.064
1.104,-0.112,43.13
1.152,-0.096,43.196
1.2,-0.064,43.261
1.184,-0.016,43.327
1.152,-0.032,43.393
1.056,0.0,43.458
0.992,-0.016,43.524
0.976,0.0,43.594
0.976,-0.016,43.661
1.008,0.0,43.727
1.088,-0.064,43.793
1.168,0.0,43.859
1.168,-0.096,43.924
1.136,-0.128,43.99
1.104,-0.064,44.056
1.024,-0.112,44.121
0.992,-0.144,44.187
0.96,-0.128,44.253
0.976,-0.144,44.319
1.04,-0.096,44.384
1.088,-0.128,44.45
1.104,-0.08,44.515
1.184,-0.096,44.581
1.12,-0.048,44.647
1.088,-0.096,44.713
1.024,-0.016,44.779
0.992,0.016,44.844
0.976,-0.032,44.91
0.992,-0.048,44.976
1.04,-0.016,45.042
1.104,-0.048,45.106
1.152,-0.08,45.174
1.136,-0.096,45.239
1.136,-0.112,45.304
1.072,-0.096,45.371
1.04,-0.112,45.436
0.976,-0.112,45.499
0.976,-0.144,45.572
0.992,-0.128,45.639
1.04,-0.064,45.705
1.104,-0.112,45.77
1.12,-0.08,45.836
1.12,-0.032,45.902
1.104,-0.032,45.967
1.088,-0.016,46.032
1.056,-0.048,46.098
0.992,0.0,46.164
0.992,-0.016,46.23
0.992,0.016,46.296
1.04,-0.032,46.362
1.088,-0.064,46.427
1.12,-0.064,46.493
1.12,-0.08,46.559
1.104,-0.096,46.625
1.072,-0.112,46.69
1.136,-0.224,46.756
0.976,-0.08,46.822
0.976,-0.096,46.887
1.024,-0.112,46.953
1.04,-0.128,47.019
1.072,-0.128,47.085
1.12,0.032,47.15
1.12,-0.096,47.215
1.088,-0.064,47.281
1.056,0.0,47.347
1.008,-0.048,47.411
0.976,-0.016,47.479
0.992,-0.08,47.549
1.008,0.0,47.614
1.088,-0.064,47.681
1.072,-0.064,47.747
1.088,-0.08,47.813
1.072,-0.08,47.879
1.072,-0.096,47.945
1.056,-0.096,48.01
1.024,-0.112,48.076
0.992,-0.096,48.141
1.008,-0.096,48.207
1.056,-0.096,48.274
1.04,-0.064,48.339
1.088,-0.08,48.405
1.104,-0.08,48.471
1.072,-0.048,48.536
1.056,-0.048,48.602
1.04,-0.032,48.668
0.992,-0.016,48.733
0.992,-0.016,48.799
0.992,-0.048,48.865
1.024,-0.032,48.93
1.04,-0.064,48.995
1.072,-0.08,49.06
1.088,-0.064,49.125
1.088,-0.064,49.191
1.056,-0.112,49.256
1.024,-0.112,49.321
1.008,-0.096,49.387
1.008,-0.096,49.452
1.008,-0.128,49.522
1.04,0.048,49.588
1.056,-0.112,49.653
1.056,-0.064,49.719
1.088,-0.048,49.784
1.056,-0.032,49.849
1.056,-0.016,49.916
